,IDN,ISBN,year,author,language,original language,title,uniform title,publisher,country
0,9959032210903338,9788664072113,2022,"Reyer, Sophie",srp,ger,: izabrane pesme,fail,Beograd,XA-RS
1,990056743370603338,9788467582468,octubre de 2015,"Brezina, Thomas",spa,ger,¡Ah del barco fantasma!,Geisterschiff ahoi!,Boadilla del Monte (Madrid),XA-ES
2,990037600490603338,9788483430873,2010,"Nöstlinger, Christine",spa,ger,¡Ojo! ¡Vranek parece totalmente inofensivo!,Achtung! Vranek sieht ganz harmlos aus,[Barcelona],XA-ES
3,990044392180603338,9788492649310,2010,"Zweig, Stefan",spa,ger,¿Fue él?,War er es? <<span.>>,Barcelona,XA-ES
5,9958505677803338,9782351281475,[2018],"Trakl, Georg",fre,ger,... Et des soleils éternellement recommencés nous accomplissent,fail,Montélimar (Drôme),XA-FR
6,990050244650603338,9783743109292,[2017],fail,rus,ger,... Na bereg ticho vybralas' lubov' ...,fail,Norderstedt,XA-DE-SH
18,990049796920603338,9787115422934,2016 nian 7 yue,"Brezina, Thomas",chi,ger,"""Gui wu"" si wang gong shi",<<Das>> Geheimnis der grauen Villa,Bei jing,XB-CN
19,9958507277703338,9787115476067,2018 nian 3 yue,"Brezina, Thomas",chi,ger,"""Gui"" zhao pian",<<Das>> unheimliche Foto,Bei jing,XB-CN
31,990037624500603338,9788087053492,2010,"Aichinger, Ilse",cze,ger,(Vrabec v hrsti),fail,Příbram,XA-CZ
38,9958562479203338,9789187393525,2018,"Haushofer, Marlen",swe,ger,18 noveller,fail,Lund,XA-SE
42,9958545361903338,9788075114228,2018,"Brendel, Alfred",cze,ger,2 x 2 = 13,fail,Praha,XA-CZ
45,9958805474003338,9789639869653,[2019],"Weninger, Brigitte",hun,ger,24 karácsonyi mese,Geschichten aus dem Weihnachtswald,[Budapest],XA-HU
47,990038944870603338,9780670919994,2010,"Kampusch, Natascha",eng,ger,"3,096 days",3096 Tage,London,fail
50,9958584371503338,9782757876398,2019,"Rilke, Rainer Maria",fre,ger,365 jours avec Rainer Maria Rilke,fail,Paris,XA-FR
52,990050314250603338,9789660376731,2017,"Werfel, Franz",ukr,ger,40 dniv Musa-Daga,<<Die>> vierzig Tage des Musa Dagh,Charkiv,XA-UA
53,990047420810603338,9782226314819,2015,"Werfel, Franz",fre,ger,<<Les>> 40 jours du Musa Dagh,<<Die>> vierzig Tage des Musa Dagh,Paris,XA-FR
56,990055739930603338,9788365830234,2017,"Gruber, Andreas",pol,ger,48,Todesfrist,Słupsk,XA-PL
57,990049978630603338,9782352879046,juillet 2016,"Gruber, Andreas",fre,ger,48 heures pour mourir,Todesfrist,Paris,XA-FR
58,9958499269703338,9786053439554,Ağustos 2016,"Gruber, Andreas",tur,ger,48 saat,Todesfrist,İstanbul,XB-TR
59,990043058070603338,9783423760638,2012,"Ibbotson, Eva",ger,eng,5 Hunde im Gepäck,One dog and his boy,München,XA-DE
60,990047507710603338,9784151806513,2014,"Poznanski, Ursula",jpn,ger,5 no gēmu,Fünf,Tōkyō,XB-JP
61,990051186230603338,9786059702065,2016,"Poznanski, Ursula",tur,ger,5,Fünf,İstanbul,XB-TR
62,990043331100603338,9783423760829,2013,"Ibbotson, Eva",ger,eng,5 Yetis suchen ein Zuhause,<<The>> Abominables,München,XA-DE
71,9958524775303338,9782081429406,2018,Franzobel,fre,ger,A ce point de folie,<<Das>> Floß der Medusa,Paris :,XA-FR
73,9959003603303338,9788412143058,desembre del 2020,"Kafka, Franz",cat,ger,A la colònia penitenciària,In der Strafkolonie,Girona,XA-ES
74,990050077420603338,9782914437288,[2013],"Altenberg, Peter",fre,ger,"À mots couverts, à demi-mot, au bas mot",fail,Clichy-la-Garenne,XA-FR
76,9958540761303338,9788075800138,[2018],"Luhn, Usch",cze,ger,A princeznin kůň,<<Das>> Pferd der Prinzessin,[Praha],XA-CZ
80,9959014408203338,9788076900264,2022,"Mayröcker, Friederike",cze,ger,A zatřásla jsem miláč kem,Und ich schüttelte einen Liebling,Praha,XA-CZ
81,9958808172603338,9789493186217,in de zomer van 2020,"Lavant, Christine",dut,ger,Aantekeningen uit het gesticht,Aufzeichnungen aus einem Irrenhaus,[Bleiswijk],XA-NL
85,990038777400603338,9780983884200,2012,"Kafka, Franz",eng,ger,Abandoned fragments,Nachgelassene Schriften und Fragmente I,"[Chicago, Ill. u.a.]",XD-US
95,990046355320603338,9783868201772,2013,"Hašek, Jaroslav",ger,cze,<<Die>> Abenteuer des braven Soldaten Schwejk,Osudy dobrého vojáka Švejka za světové války,Hamburg,XA-DE
96,990044607630603338,9783150109694,2014,"Hašek, Jaroslav",ger,cze,<<Die>> Abenteuer des guten Soldaten Švejk im Weltkrieg,Osudy dobrého vojáka Švejka za světové války,Stuttgart,XA-DE
107,990050325470603338,9788416011421,2015,"Roth, Joseph",spa,ger,Abril,April,Barcelona,XA-ES
113,9958837255203338,9782070720521,décembre 2020,"Handke, Peter",fre,ger,<<L'>> absence,<<Die>> Abwesenheit,Paris,XA-FR
114,9958820973803338,9780374527631,2019,"Handke, Peter",eng,ger,Absence,<<Die>> Abwesenheit,New York,XD-US
120,990049215850603338,9789056725518,maart 2016,"Meyerhoff, Joachim",dut,ger,"Ach, deze leegte, deze verschrikkelijke leegte","Ach, diese Lücke, diese entsetzliche Lücke",Amsterdam,XA-NL
125,9958826774303338,9780374527648,2019,"Handke, Peter",eng,ger,Across,<<Der>> Chinese des Schmerzes,New York,XD-US
126,990050853130603338,9788872231661,2011,fail,ita,ger,Ad alta voce,fail,Merano,XA-IT
127,990038040680603338,9789928117021,2011,"Pellert, Wilhelm",alb,ger,Ada dhe gjyshja në Togo,Ada und Oma in Togo,[Lushnjë],XA-AL
128,9958601175603338,9788090273856,2019,"Becher, Peter",cze,ger,Adalbert Stifter,"Adalbert Stifter - Sehnsucht nach Harmonie, eine Biografie",Horní Planá,XA-CZ
130,9958911228103338,9791024017075,[2021],"Zweig, Stefan",fre,ger,Adam Lux,Adam Lux - zehn Bilder aus dem Leben eines deutschen Revolutionärs,Mont-Saint-Aignan,XA-FR
132,990038567160603338,9783941184077,2011,"Peroutka, Ferdinand",ger,cze,"Adieu, Jeanne oder Die zweite Chance der Jungfrau",Pozdější život Panny,Berlin,XA-DE
133,990047083070603338,9788024923970,2014.,"Kubelka, Susanna",cze,ger,"Adieu, Vídni - bonjour, Paříži",Adieu Wien - bonjour Paris,Praha,XA-CZ
134,9958941600703338,9786057040534,Nisan 2021,"Flašar, Milena Michiko",tur,ger,Adini kravat koydum,Ich nannte ihn Krawatte,İstanbul,XB-TR
138,990047235710603338,9789655528237,2014,"Baronsky, Eva",heb,ger,Adon Motsarṭ mitʿorer,"Herr Mozart wacht auf <hebr., Iwrith>",Or Yehudah,XB-IL
142,9959094089903338,9783988570093,April 2023,fail,ger,slv,Ändert meinen Kopf,Zamenite mi glavo,Berlin,XA-DE
143,990044700180603338,9789171398727,2011,"Dinev, Dimitré",swe,ger,Änglatungor,Engelszungen,Lindome [u.a.],XA-SE
144,9958884643003338,9783906050638,Mai 2021,fail,ger,eng,<<Die>> Aeroplane in Brescia,fail,Schupfart,XA-CH
147,990037069740603338,9782918619000,2010,"Wassermann, Jakob",fre,ger,<<L'>> affabulateur,<<Der>> Aufruhr um den Junker Ernst,Strasbourg,fail
148,9958573666703338,9788726007800,[2018],"Simmel, Johannes Mario",dan,ger,Affæren Nina B.,Affäre Nina B.,[København],XA-DK
149,990038949540603338,9789542915065,2011,"Gelich, Johannes",bul,ger,Afrikanskijat prijatel,<<Der>> afrikanische Freund,Sofija,XA-BG
150,9958884638603338,9789642091843,1400 [2021],"Roth, Joseph",per,ger,Afsāna-i maigusār-i qiddīs,Das falsche Gewicht,Tihrān,XB-IR
151,9958826774203338,9781250767264,February 2020,"Handke, Peter",eng,ger,<<The>> afternoon of a writer,Nachmittag eines Schriftstellers,New York,XD-US
152,9958815744603338,9781681373836,[2020],"Musil, Robert",eng,ger,"Agathe, or The forgotten sister",<<Der>> Mann ohne Eigenschaften,New York,XD-US
157,990048048820603338,9787539770703,2014,"Nöstlinger, Christine",chi,ger,Ai ge zi xian sheng,<<Der>> kleine Herr greift ein,He fei,XB-CN
158,990050853120603338,9788889767528,2014,"Mall, Sepp",ita,ger,Ai margini della ferita,Wundränder,Rovereto (Tn),XA-IT
160,990039047090603338,9789928117076,2012,"Pellert, Wilhelm",alb,ger,Ajana dhe goli i artë,Ayana und das goldene Tor,[Lushnjë],XA-AL
161,9958026972803338,9786052980156,Ekim 2017,"Kafka, Franz",tur,ger,Akbaba,fail,İstanbul,XB-TR
165,990049800390603338,9788494164651,2014,"Kofler, Werner",spa,ger,Al escritorio,Am Schreibtisch,Barcelona,XA-ES
166,990042353800603338,9789871556724,2011,"Walser, Alissa",spa,ger,Al principio la noche era música,Am Anfang war die Nacht Musik,Buenos Aires,XD-AR
171,9958517980303338,9783462049190,2018,"Black, Benjamin",ger,eng,Alchimie einer Mordnacht,Prague nights,Köln,XA-DE-NW
173,9958952308303338,9786082479699,2022,"Jelinek, Elfriede",mac,ger,Alčnost,Gier,Skopje,XA-MK
175,990048055880603338,9788492574865,2012,"Bernhard, Thomas",cat,ger,<<L'>> alè,<<Der>> Atem,"Pollença, Mallorca",XA-ES
176,9958821171803338,9786192310455,2021,"Zuchna, Christian",bul,ger,Aleksis Cakas,<<Der>> Arzt und der Krieg,Sofija,XA-BG
177,990050302640603338,9789944717434,ocak 2017,"Nöstlinger, Christine",tur,ger,Alev saçlı çocuk,<<Die>> feuerrote Friederike,İstanbul,XB-TR
182,9958582474103338,9788681168035,2018,"Said, Kurban",srp,ger,Ali i Nino,Ali und Nino,Beograd,XA-RS
183,9958582474303338,9788681168004,2017,"Said, Kurban",srp,ger,Ali i Nino,Ali und Nino,Beograd,XA-RS
184,9958541554003338,9788328045262,2017,Essad,pol,ger,Ali i Nino,Ali und Nino,Warszawa,XA-PL
185,9958505274403338,9782844146700,[2018],"Mahler, Nicolas",fre,ger,Alice dans le Sussex,Alice in Sussex,Paris,XA-FR
188,9958506574503338,9789542915928,2016,"Dinev, Dimitré",bul,ger,Alisa,Alice,Sofija,XA-BG
189,990027336510603338,9783898127011,2010,"Rouquette, Max",ger,oci,All der Sand am Meer,Tota la sabla de la mar,Halle (Saale),XA-DE
193,9958586470103338,9781784102241,2018,"Schlag, Evelyn",eng,ger,All under one roof,fail,Manchester,XA-GB
195,990048761810603338,9788880575733,[2014],"Rabinovici, Doron",ita,ger,Alla ricerca di M.,Suche nach M.,Firenze,XA-IT
197,990057720860603338,fail,2017-,"Meyerhoff, Joachim",dut,ger,Alle doden vliegen hoog,Alle Toten fliegen hoch,Amsterdam,XA-NL
250,990057721100603338,fail,2015,"Vögel, Stefan",bul,ger,Alonso,fail,Sofija,XA-BG
265,9958887423503338,9783737342568,[2022],"Kessler, Liz",ger,eng,Als die Welt uns gehörte,When the world was ours,Frankfurt am Main,XA-DE-HE
299,990045157340603338,9788880575061,2013,"Rabinovici, Doron",ita,ger,Altrove,Andernorts,Firenze,XA-IT
316,9958945399603338,9783498070700,Juli 2020,"Villazón, Rolando",ger,spa,Amadeus auf dem Fahrrad,fail,Hamburg,XA-DE-HH
317,9958513788003338,9788771412369,[2013],"Bansch, Helga",dan,ger,Amalie og fisken,Amelie und der Fisch,[Århus],XA-DK
320,9958807234003338,9788834603642,ottobre 2020,"Jelinek, Elfriede",ita,ger,<<Le>> amanti,<<Die>> Liebhaberinnen,Milano,XA-IT
326,990051183940603338,9788823509580,maggio 2017,"Handke, Peter",ita,ger,<<L'>>ambulante,<<Der>> Hausierer,Milano,XA-IT
327,9958926113103338,9786192620059,2022,"Handke, Peter",bul,ger,Ambulantnijat tărgovec,<<Der>> Hausierer,Sofija,XA-BG
329,9958513787903338,9789051163148 (geb.),[2013],"Bansch, Helga 1957-",dut,ger,Amelie en haar vis,Amelie und der Fisch,Rijswijk,XA-NL
330,990047584010603338,9782362661181,2015,"Bansch, Helga",fre,ger,Amélie et le poisson,Amelie und der Fisch,Saint-Mandé,XA-FR
331,990048503830603338,9788415999010,2015,"Kafka, Franz",spa,ger,América,Amerika,"Santa Perpetua de Mogoda, Barcelona",XA-ES
332,990047233930603338,9788492728428,2013,"Schnitzler, Arthur",spa,ger,América y otros relatos,fail,Rubí (Barcelona),XA-ES
334,9958554945403338,9788075930460,2019,"Zweig, Stefan",cze,ger,Amerigo & Magalhães,Amerigo : die Geschichte eines historischen Irrtums ; Magellan : der Mann und seine Tat,Praha,XA-CZ
337,990038777350603338,fail,2011,"Kafka, Franz",eng,ger,Amerika,<<Der>> Verschollene,London,XA-GB
338,990047519350603338,9788702118506,2014,"Kafka, Franz",dan,ger,Amerika,<<Der>> Verschollene,[København],XA-DK
339,990050346870603338,9788652123131,2016,"Kafka, Franz",srp,ger,Amerika,<<Der>> Verschollene,Beograd,XA-SP
340,990049539590603338,9788663690585,2015,"Kafka, Franz",srp,ger,Amerika,<<Der>> Verschollene,Beograd,XA-SP
341,9958887047003338,9786082435268,[2022],"Kafka, Franz",mac,ger,Amerika,<<Der>> Verschollene,Skopje,XA-MK
342,9958986005203338,9786057762641,Haziran 2016,"Kafka, Franz",tur,ger,Amerika,<<Der>> Verschollene,İstanbul,XB-TR
343,9958602980503338,9789177817642,[2019],"Kafka, Franz",swe,ger,Amerika,Amerika,Stockholm,XA-SE
344,9958301546203338,9788663690585,2016,"Kafka, Franz",srp,ger,Amerika,<<Der>> Verschollene,Beograd,XA-RS
346,9958555060703338,9781784875626,2019,"Kafka, Franz",eng,ger,Amerika,fail,London,XA-GB
348,9958806379603338,9789941238277,2017,"Kafka, Franz",geo,ger,Amerika,<<Der>> Verschollene,T̕bilisi,XB-GE
349,990050746940603338,9785389047488,[2016],"Kafka, Franz",rus,ger,Amerika,<<Der>> Verschollene,Sankt-Peterburg,XA-RU
350,9958491071603338,9788686599339,oktobar 2016.,"Kafka, Franz",srp,ger,Amerika,<<Der>> Verschollene,Beograd,XA-RS
351,9958510476503338,9789750706646,Eylül 2017,"Kafka, Franz",tur,ger,Amerika,<<Der>> Verschollene,Istanbul,XB-TR
352,990055738990603338,9789056725747,juni 2017,"Meyerhoff, Joachim",dut,ger,Amerika,Amerika,Amsterdam,XA-NL
353,9958882341403338,9789029544481,[2021],"Menasse, Robert",dut,ger,<<De>> Amerikaanse bril,Ich kann jeder sagen,Amsterdam,XA-NL
356,990048816800603338,9789523303089,2016,"Salten, Felix",fin,ger,Amerikka viidessä minuutissa,Fünf Minuten Amerika,Helsinki,XA-FI
357,9958570779503338,9789660384927,2019,"Kafka, Franz",ukr,ger,Ameryka,<<Der>> Verschollene,Charkiv,XA-UA
359,990049202130603338,9782070467594,2016,"Zweig, Stefan",fre,ger,Amok,<<Der>> Amokläufer,Paris,XA-FR
360,9958798577703338,9786190206118,2020,"Zweig, Stefan",bul,ger,Amok i drugi noveli,fail,Sofija,XA-BG
361,9958522572903338,9788763854702,2018,"Zweig, Stefan",dan,ger,Amok,Amok,København,XA-DK
362,990049507370603338,9789605051235,2014,"Zweig, Stefan",gre,ger,Amok kai alles nubeles,<<Der>> Amokläufer,Athēna,XA-GR
363,9958504675403338,9789750735196,Haziran 2018,"Zweig, Stefan",tur,ger,Amok koşucusu,<<Der>> Amokläufer,Istanbul,XB-TR
364,9958504373803338,9786055063122,Mayıs 2016,"Zweig, Stefan",tur,ger,Amok koşucusu,fail,"Kızılay, Ankara",XB-TR
365,990047578110603338,9788683967599,2015,"Zweig, Stefan",srp,ger,Amok,Amok,Beograd,XA-SP
366,990049819670603338,9789187891205,[2015],"Zweig, Stefan",swe,ger,Amok,Amok,Stockholm,XA-SE
367,990050727050603338,9788374703499,2017,"Zweig, Stefan",pol,ger,Amok,Amok,Toruń,XA-PL
370,9959003705703338,9789500373722,septiembre de 2020,"Zweig, Stefan",spa,ger,Amok,<<Der>> Amokläufer,Buenos Aires,XD-AR
378,9958803572703338,9789500372640,novembrie de 2016,"Zweig, Stefan",spa,ger,<<El>> amor de Erika Ewald y otros relatos,<<Die>> Liebe der Erika Ewald,"Buenos Aires, Argentina",XA-ES
380,990043095640603338,9782330009373,2013,"Setz, Clemens J.",fre,ger,<<L'>>amour au temps de l'enfant de Mahlstadt,<<Die>> Liebe zur Zeit des Mahlstädter Kindes,[Paris],XA-FR
381,9958512650803338,9788679581341,2017,"Bernhard, Thomas",srp,ger,Amras,Amras,Beograd,XA-RS
382,990045174280603338,9789750825750,2013,"Bernhard, Thomas",tur,ger,Amras,Amras,"Beyoğlu, İstanbul",XB-TR
385,9958802876403338,9784309207834,2019nen 9gatsu 30nichi,"Bernhard, Thomas",jpn,ger,Amurasu = Amras,Amurasu,Tōkyōto,XB-JP
391,9958585874903338,9788491825296,abril de 2019,"Nöstlinger, Christine",spa,ger,Ana está furiosa,Anna und die Wut,Boadilla del Monre (España),XA-ES
392,990047071060603338,9789542915089,2011,"Schnitzler, Arthur",bul,ger,Anatol,fail,Sofija,XA-BG
393,9958947404803338,9788662633316,[2020],"Schnitzler, Arthur",srp,ger,Anatol,Anatol,Novi Sad,XA-RS
394,9958987608503338,9786192620233,2023,"Schnitzler, Arthur",bul,ger,Anatol x 3,Anatol,Sofija,XA-BG
395,990046460820603338,9788323337966,2014,"Kim, Anna",pol,ger,Anatomia pewnej nocy,Anatomie einer Nacht,Kraków,XA-PL
396,990047176710603338,9782330034368,2014,"Kim, Anna",fre,ger,Anatomie d'une nuit,Anatomie einer Nacht,Paris,XA-FR
397,990038053830603338,9782916928159,2011,"Petz, Georg",fre,ger,<<L'>> anatomie du parasite,<<Die>>Anatomie des Parasitären,Nancy,XA-FR
400,9958564356203338,9786185101824,[2019],"Hackl, Erich",gre,ger,Anaxētōntas tē Zintoni,Abschied von Sidonie,Athen,XA-GR
403,990047366590603338,9788799468331,2013,"Bernhard, Thomas",dan,ger,Åndedraettet,<<Der>> Atem,[Frederiksberg],XA-DK
404,990050085920603338,9788087341339,2016,"Haderlap, Maja",cze,ger,Anděl zapomnění,Engel des Vergessens,Praha,XA-CZ
405,990039176090603338,9788025217689,2011,"Brezina, Thomas",cze,ger,Andělé milují prostě jinak,Wilde Wahnsinnsengel: Engel lachen einfach anders,Praha,XA-CZ
406,990043062620603338,9788025220146,2012,"Brezina, Thomas",cze,ger,Andělé pláčou jedině potají,Wilde Wahnsinnsengel: Engel weinen höchstens heimlich,Praha,XA-CZ
407,990039176080603338,9788025214923,2010,"Brezina, Thomas",cze,ger,Andělé se smějí čím dál vic,Wilde Wahnsinnsengel: Engel lachen immer länger,Praha,XA-CZ
408,9958564356103338,9789532603385 (Disput),2019,"Haderlap, Maja",hrv,ger,Anđeo zaborava,Engel des Vergessens,Zagreb,XA-HR
411,9958912729503338,9783832182144,[2022],"Rishøi, Ingvild Hedemann",ger,nor,Andere Sterne,Stargate. En julefortelling,Köln,XA-DE
412,990047405160603338,9783940357526,2015,"Gorey, Edward",ger,eng,<<Der>> andere Zoo,<<The>> utter zoo,Düsseldorf,XA-DE-NW
416,9958949305903338,9788793629998,2022,"Handke, Peter",dan,ger,<<Det>> andet sværd,<<Das>> zweite Schwert,Roskilde Bogcafé,XA-DK
417,990050082380603338,9789198199505,[2014],"Celan, Paul",swe,ger,Andningsvändning,Atemwende,Göteborg,XA-SE
420,9958893241703338,9788283830750,[2020],"Handke, Peter",nor,ger,<<Det>> andre sverdet,<<Das>> zweite Schwert,Stavanger,XA-NO
422,9958493280603338,9789985797051,[2016],"Hofmannsthal, Hugo <<von>>",est,ger,"Andreas, ehk, Ühekssaanud",Andreas,[Tallinn],XA-EE
423,9958779067403338,9789600517750,2020,"Handke, Peter",gre,ger,Anemelē dystychia,Wunschloses Unglück,Athēna,XA-GR
427,9958566971903338,9788416291847,mayo de 2019,"Haderlap, Maja",spa,ger,<<El>> ángel del olvido,Engel des Vergessens,Cáceres,XA-ES
428,990049828090603338,9780914671466,2016,"Haderlap, Maja",eng,ger,Angel of oblivion,Engel des Vergessens,Brooklyn,XD-US
429,990038606910603338,9781903517819,2010,"Meyrink, Gustav",eng,ger,<<The>> angel of the west window,<<Der>> Engel vom westlichen Fenster,Sawtry,XA-GB
430,990047994430603338,9789616780742,2014,"Haderlap, Maja",slv,ger,Angel pozabe,Engel des Vergessens,Maribor,XA-SI
431,990048054670603338,9788889767597,[2014],"Haderlap, Maja",ita,ger,<<L'>> angelo dell'oblio,Engel des Vergessens,Rovereto (Tn),XA-IT
432,9958585078603338,9789542829843,2019,"Dinev, Dimitré",bul,ger,Angelski ezici,Engelszungen,Sofija,XA-BG
433,990049588160603338,9785998502385,2011,"Kafka, Franz",rus,ger,Angely ne letajut,fail,Sankt-Peterburg,XA-RU
436,990027896430603338,9780691144979,2010,"Eich, Günter",eng,ger,Angina days,fail,"Princeton, NJ [u.a.]",XD-US
438,990044504570603338,9782070453726,2013,"Zweig, Stefan",fre,ger,Angoisses,Angst,Paris,XA-FR
439,9958564967503338,9788836815944,[2017],"Zweig, Stefan",ita,ger,Angoscia,Angst,Bagno a Ripoli (Firenze),XA-IT
447,990046862900603338,fail,2013,"Lubomirski, Karl",vie,ger,Ánh sáng và tro tàn,Licht und Asche,Hà Nôi,XB-VN
448,9958864544003338,9788024271965,[2021],"Poznanski, Ursula",cze,ger,"Ani mrtvá, ani živá",Vanitas - schwarz wie Erde,Praha,XA-CZ
449,990049777990603338,9789933164935,[2016],"Luhn, Usch",ara,ger,Ānī taʿaṯṯur ʿalā muhr saġīr,Anni findet ein Pony,Dubai,XB-AE
450,990048294050603338,9788328025165,2015,fail,pol,ger,Ania i Maks idą do lekarza,fail,Warszawa,XA-PL
452,9958849249003338,9785604409381,[2020],"Nöstlinger, Christine",rus,ger,Anja serditsja,Anna und die Wut,Moskva,XA-RU
453,990049151670603338,9788081030833,2015,"Brezina, Thomas",slo,ger,Anjeli sa vždy smejú dlhšie,Engel lachen immer länger,Senica,XA-SK
454,9958880443303338,9789928292841,[2021],"Handke, Peter",alb,ger,Ankthi i portierit para penalltisë,<<Die>> Angst des Tormanns beim Elfmeter,Tirana,XA-AL
455,9958510070503338,fail,Ekim 2015-,"Kafka, Franz",tur,ger,Anlatılar,Erzählungen,İstanbul,XB-TR
461,9958522780503338,9788074332135,2018,"Saathen, Friedrich Hans",cze,ger,Anna Nahowská,Anna Nahowski und Kaiser Franz Joseph,[Líbeznice],XA-CZ
470,990043059330603338,9788872231654,2011,"Flöss, Helene",ita,ger,Anni secchi,Dürre Jahre,Merano,XA-IT
472,9958505273103338,9788871865195,2013,"Handke, Peter",ita,ger,<<Un>> anno parlato dalla notte,<<Ein>> Jahr aus der Nacht gesprochen,Bergamo,XA-IT
473,9958510476403338,9788809849204,aprile 2018,"Poznanski, Ursula",ita,ger,Anonimo,Anonym,Firenze,XA-IT
476,9958837254803338,9788024263779,[2020],"Poznanski, Ursula",cze,ger,Anonymita,Anonym,Praha,XA-CZ
480,9958573156403338,9789188253651,[2019],"Bernhard, Thomas",swe,ger,Anstöt,Verstörung,Stockholm,XA-SE
482,990050770530603338,9789602834510,Iunios 2016,"Schnitzler, Arthur",gre,ger,<<O>> anthypolochagos Gkustl,Lieutenant Gustl,Athēna,XA-GR
483,990016385430603338,0720613310,2010,"Roth, Joseph",eng,ger,<<The>> antichrist,<<Der>> Antichrist,London [u.a.],XA-GB
484,9958798579403338,9786190300298,2021,"Köhlmeier, Michael",bul,ger,Antični legendi,<<Das>> große Sagenbuch des klassischen Altertums,Sofija,XA-BG
485,990048032960603338,9788494098543,2013,"Roth, Joseph",spa,ger,<<El>> Anticristo,<<Der>> Antichrist,Madrid,XA-ES
487,9958545563203338,9788799617289,2018,"Rezzori, Gregor <<von>>",dan,ger,<<En>> antisemits erindringer,Denkwürdigkeiten eines Antisemiten,København,XA-DK
488,990048056090603338,9789186729066,2012,"Rezzori, Gregor <<von>>",swe,ger,<<En>> antisemits memoarer,Denkwürdigkeiten eines Antisemiten,Stockholm,XA-SE
489,9958941600803338,9788382091793,[2022],fail,pol,ger,Antologia niemieckiej poezji klasycznej od średniowiecza do Celana,fail,Warszawa,XA-PL
491,990049009950603338,fail,2015-,fail,srp,ger,Antologija savremene nemačke drame,fail,Beograd,XA-SP
492,990046956830603338,9786175692042,2014,fail,ukr,ger,Antolohija avstrijs'koï prozy počatku XX stolittja,fail,Kyïv,XA-UA
493,990046352900603338,9788883750267,2014,"Zöller, Elisabeth",ita,ger,Anton ovvero il tempo della vita senza valore,Anton oder die Zeit des unwerten Lebens,Cornaredo (MI),XA-IT
497,990047999430603338,fail,2015,"Albrich-Mavrocordato, Alice",rum,ger,Apa trece ... pietrele rǎmân,<<Die>> Steine bleiben,Târgu-Lǎpuş,XA-RO
499,9958899915303338,9789606381508,Ianuarios 2021,"Bachmann, Ingeborg",gre,ger,Apanta ta poiēmata,Ich weiß keine bessere Welt,Athēna,XA-GR
500,9958807673003338,9789606380778,Noembrios 2019,"Bernhard, Thomas",gre,ger,Apanta ta poiēmata,Gedichte,Athēna,XA-GR
504,9958803358703338,9786185370138,Noembrios 2018,"Bernhard, Thomas",gre,ger,Aphanismos,Auslöschung,[Athēna],XA-GR
506,990049603350603338,9788074850745,2016,"Ebner-Eschenbach, Marie <<von>>",ger,ger,Aphorismen,fail,Brno,XA-CZ
510,990057718560603338,9791091896450,2016,"Kraus, Karl",fre,ger,Aphorismes,fail,Paris,XA-FR
514,9958803571603338,9786185370169,Oktōbrios 2018,"Bernhard, Thomas",gre,ger,<<O>> apotychēmenos,<<Der>> Untergeher,[Athēna],XA-GR
515,990050272760603338,9788806221232,[2016],"Bernhard, Thomas",ita,ger,<<L'>> apparenza inganna,fail,Torino,XA-IT
516,9958537558403338,9782919376520,[2017],"Härtling, Peter",fre,ger,Apprendre le chant des oiseaux,fail,[Thonon-les-Bains],XA-FR
518,9958493247003338,9782354132880,2018,"Weninger, Brigitte",fre,ger,Apprendre? Quel plaisir!,Lernen macht Spaß,[Paris],XA-FR
519,990049072010603338,9782070718610,2011,"Handke, Peter",fre,ger,Après-midi d'un écrivain,Nachmittag eines Schriftstellers,Paris,XA-FR
520,9958870409603338,9783847704270,Juli 2020,"Szentkuthy, Miklós",ger,hun,Apropos Casanova,fail,Berlin,XA-DE
521,990051186250603338,9788490651643,enero de 2016,"Rilke, Rainer Maria",spa,ger,<<Los>> apuntes de Malete Laurids Brigge,<<Die>> Aufzeichnungen des Malte Laurids Brigge,Barcelona,XA-ES
522,9958870351403338,9788416176083,[2014],"Stimeder, Klaus",spa,ger,Aquí Berlín,Hier ist Berlin,[Salamanca],XA-ES
524,9958884549203338,9789047710325,[2019],"Poznanski, Ursula",dut,ger,Aquila,Aquila,Rotterdam,XA-NL
526,990046176470603338,9789934042225,2014,"Kubelka, Susanna",lav,ger,"Ardievu, Vine - sveika, Parize!",Adieu Wien - Bonjour Paris,Riga,XA-LV
527,990048235470603338,9781939739230,2014,"Hackl, Erich",eng,ger,Argentina's angel,Als ob ein Engel,"Portsmouth, NH",XA-GB
528,990050085800603338,9783518240557,2016,"Plath, Sylvia",eng,eng,Ariel,Ariel,Berlin,XA-DE-BE
529,9958620880103338,9786176142416,fail,"Celan, Paul",ukr,ger,Arija snihu,fail,fail,XA-UA
536,990048651050603338,fail,2014,"Svatek, Kurt F.",ita,ger,<<Le>> aritmie del tempo,fail,"Trento, Italia",XA-IT
541,9958976303303338,9786555250763,2021,"Celan, Paul",por,ger,Ar-reverso,Atemwende,São Paulo,XA-PT
542,990043957020603338,9788799468300,2011,"Bernhard, Thomas",dan,ger,Årsagen,<<Die>> Ursache,[Frederiksberg],XA-DK
543,990047585130603338,9782246851844,2015,"Glattauer, Daniel",fre,ger,<<L'>> art de ne pas rompre,<<Die>> Wunderübung,Paris,XA-FR
